"Water Tester",".....................",
,".WWW...W......W....W.",
,".WWW..WWW.WWW.W...WWW",
,".WWW...W......W...WWW",
,".....................",
,"..................WWW",
,".WW...WW..W...W...WWW",
,".WWW.WWW.WWW.WWW...W.",
,"..W...W...WW.WW......",
,"...................WW",
,".WW...WW.WWW......WWW",
,".WWW.WWW.W.W.......WW",
,"..WW.WW..WWW.........",
,"..................WW.",
,"..WW.WW..WWW.WWW..WWW",
,".WWW.WWW.WWW.WWW..WW.",
,".WWW.WWW.WW...WW.....",
,".....................",
,"..WWW..W.....W.......",
,"...W..WW..W..WW......",
,".......W.WWW.W.......",
,".....................",
,"..WWW.WW..WW.WW......",
,"..WW..WWW.WW.WW......",
,"..........W...W......",
,"..WWW..WW............",
,"...WW.WWW.W...W......",
,"..........WW.WW......",
,"..........WW.WW......",
,".....................",
,".....................",
,".....................",
,".....................",
,"",
