"Fence Tester",".....................",
,".NNNN.NNN..N.........",
,".N..N.NNN.NNN........",
,".N..N.NNN..N.........",
,".NNNN................",
,".....................",
,".....................",
,"......N..............",
,"..N...N...NN...N..NN.",
,"...............N.....",
,".....................",
,".....................",
,"...N..N.......N......",
,"..NNN.NN.NNN.NN......",
,"......N...N...N......",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
,".....................",
